image,match_type,iou,gt_index,pred_index,pred_conf,gt_depth_m,pred_depth_m,gt_x1,gt_y1,gt_x2,gt_y2,pred_x1,pred_y1,pred_x2,pred_y2
-7-_png_jpg.rf.7fe86dd7c657ab96e63a210654a90a80.jpg,TP,0.8056211102439991,0.0,0.0,0.8808027505874634,1.2618296529968454,1.2776545556311762,35.0,0.0,509.0,634.0,70.35874938964844,0.0,457.01220703125,626.1473388671875
-8-_png_jpg.rf.7d5ed1edaaf964f206150b7aa00d28f7.jpg,TP,0.8665143480768781,0.0,0.0,0.9334383606910706,1.2658227848101267,1.3179529256560003,57.0,8.0,535.0,640.0,67.06607055664062,32.7781982421875,498.3175964355469,639.7801513671875
101_jpg.rf.5ad2909cab6e7a0d6867a779855a1784.jpg,TP,0.9725464682702711,0.0,0.0,0.9300421476364136,1.3852813852813852,1.3997199321369918,141.0,35.25,451.0,612.75,137.03675842285156,35.89459228515625,452.5565185546875,607.4375
101_jpg.rf.f6f68e0f2cf6638d5bb50a5576f16617.jpg,TP,0.9821221520757565,0.0,0.0,0.9293088316917419,1.404741000877963,1.4016764680216889,196.0,49.25,521.0,618.75,194.67156982421875,44.889892578125,520.7149047851562,615.635009765625
105_jpg.rf.6b1053e3c49bf3f320dd315e12890c6e.jpg,TP,0.9616344770062013,0.0,0.0,0.9072074294090271,1.9875776397515528,1.9666256402838969,240.75,114.75,397.25,517.25,240.57916259765625,116.4119873046875,400.30303955078125,523.2001342773438
107_jpg.rf.34c30381c03df89c941d7cde69d7c1b0.jpg,TP,0.9659049908201608,0.0,0.0,0.9297088980674744,1.2539184952978055,1.2594464247141763,146.25,0.0,527.75,638.0,145.12184143066406,0.08123779296875,538.4063720703125,635.2809448242188
109_png_jpg.rf.da5de8c9660c59f905e10b3af2851489.jpg,TP,0.9497147920360323,0.0,0.0,0.4082844853401184,2.0151133501259446,2.09149984715306,139.0,119.0,536.0,516.0,143.65234375,133.63023376464844,536.7969970703125,516.130859375
10_jpg.rf.d04efce5fc22d2224585c210ae7d6bdd.jpg,TP,0.968223626062069,0.0,0.0,0.9267305135726929,1.28,1.266614213191102,211.75,11.0,440.25,636.0,206.7467041015625,5.93756103515625,440.222412109375,637.5426635742188
10_png_jpg.rf.a3ec6b491c592175b5026c1499735d81.jpg,TP,0.9761949229921467,0.0,0.0,0.9518435001373291,1.25,1.2698894969814547,58.0,0.0,640.0,640.0,62.2908935546875,10.02392578125,639.4764404296875,640.0
10_png_jpg.rf.a3ec6b491c592175b5026c1499735d81.jpg,FN,,1.0,,,1.941747572815534,,522.0,16.0,640.0,428.0,,,,
11-0_png_jpg.rf.7ddf03fcc8d0e0a5042bb3880603d20a.jpg,TP,0.964657103222176,1.0,0.0,0.9048240184783936,1.3876843018213356,1.3824592675408645,374.25,51.75,467.75,628.25,371.8660888671875,51.14508056640625,467.09228515625,629.823974609375
11-0_png_jpg.rf.7ddf03fcc8d0e0a5042bb3880603d20a.jpg,TP,0.9237475555608126,0.0,2.0,0.900147020816803,1.3757523645743766,1.3894946184010084,180.0,49.25,271.0,630.75,176.09295654296875,53.9765625,268.50982666015625,629.7254638671875
11-0_png_jpg.rf.7ddf03fcc8d0e0a5042bb3880603d20a.jpg,TP,0.9066710963887302,2.0,1.0,0.9011488556861877,1.3876843018213356,1.3923570991441494,274.25,55.75,371.75,632.25,277.8281555175781,54.11285400390625,367.0107727050781,628.6781005859375
114_jpg.rf.24a25e18161b59163bb25c7b13388f35.jpg,TP,0.8894990089651923,0.0,0.0,0.9420609474182129,1.675392670157068,1.7143860918544818,111.75,99.25,552.25,576.75,131.7449493408203,105.24615478515625,532.6886596679688,571.885498046875
114_jpg.rf.b6b733751daa2dde903539d94b7e1aba.jpg,TP,0.9793312328170654,0.0,0.0,0.9178714752197266,1.3234077750206783,1.3200336292747108,165.25,27.75,440.75,632.25,167.7312774658203,30.3988037109375,440.91461181640625,636.4439697265625
115_jpg.rf.3e3d703f4b9278f194f87a353062e76f.jpg,TP,0.9941067632601929,0.0,0.0,0.9580109119415283,1.25,1.2552300453837217,0.0,0.0,611.0,640.0,0.0,2.6666259765625,609.9406127929688,640.0
117_jpg.rf.7b7c32edc313128230ebaef384907a6f.jpg,TP,0.9922929971779073,0.0,0.0,0.960026204586029,1.48975791433892,1.4842993040988097,50.25,0.0,513.75,537.0,48.69732666015625,0.0,513.4143676757812,538.974853515625
11_png_jpg.rf.69f315234dfdf95bc892e0a2db9f3076.jpg,TP,0.9802274777046346,0.0,0.0,0.9447801113128662,1.2924071082390953,1.2781550381231934,65.0,21.0,601.0,640.0,64.4500732421875,14.09783935546875,605.23193359375,640.0
124_jpg.rf.8e06264b66f2d2a7c5599f4d85a1e122.jpg,TP,0.9669967058624916,0.0,0.0,0.9495981931686401,1.3114754098360655,1.3139507420846377,146.75,19.0,469.25,629.0,149.03204345703125,25.3428955078125,466.80914306640625,634.1937255859375
128_jpg.rf.014dfad6c90ebb8c12a7426341b06a13.jpg,TP,0.9063138927442849,0.0,0.0,0.9384649395942688,1.408450704225352,1.35929128357783,158.0,37.0,483.0,605.0,148.85433959960938,29.0174560546875,494.9336242675781,617.5594482421875
12_jpg.rf.ce05dc5ef455fe5603f1de9ba95c0024.jpg,TP,0.9636874674028385,0.0,0.0,0.9563154578208923,1.3445378151260505,1.3494742000778353,25.75,0.0,380.25,595.0,32.77166748046875,0.3643798828125,375.65313720703125,593.1878662109375
12_jpg.rf.ce05dc5ef455fe5603f1de9ba95c0024.jpg,TP,0.933392807416541,1.0,1.0,0.9477558732032776,1.76017601760176,1.7508671716279156,398.0,139.75,640.0,594.25,410.91827392578125,137.023193359375,638.2274780273438,593.9396362304688
12_png_jpg.rf.52dd4fa8be0629126b8f6ba542e9fd36.jpg,TP,0.97795157299717,0.0,0.0,0.9115914106369019,1.9753086419753085,1.9534720957468403,200.75,95.0,361.25,500.0,201.10830688476562,92.19699096679688,362.6958923339844,501.7242126464844
