image,image_path,gt_index_a,gt_index_b,pred_index_a,pred_index_b,gt_distance_m,pred_distance_m,error_m,abs_error_m,relative_error,abs_relative_error
11-0_png_jpg.rf.7ddf03fcc8d0e0a5042bb3880603d20a.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\11-0_png_jpg.rf.7ddf03fcc8d0e0a5042bb3880603d20a.jpg,0,1,2,0,0.4223011281841964,0.42706615603861975,0.004765027854423343,0.004765027854423343,0.011283483600699654,0.011283483600699654
11-0_png_jpg.rf.7ddf03fcc8d0e0a5042bb3880603d20a.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\11-0_png_jpg.rf.7ddf03fcc8d0e0a5042bb3880603d20a.jpg,0,2,2,1,0.2101772417221702,0.21739638263023808,0.007219140908067884,0.007219140908067884,0.03434787158169459,0.03434787158169459
11-0_png_jpg.rf.7ddf03fcc8d0e0a5042bb3880603d20a.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\11-0_png_jpg.rf.7ddf03fcc8d0e0a5042bb3880603d20a.jpg,1,2,0,1,0.21266608560692504,0.20986670742501895,-0.0027993781819060926,0.0027993781819060926,-0.013163256256478238,0.013163256256478238
12_jpg.rf.ce05dc5ef455fe5603f1de9ba95c0024.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\12_jpg.rf.ce05dc5ef455fe5603f1de9ba95c0024.jpg,0,1,0,1,0.912650563646884,0.9150283557788865,0.0023777921320025097,0.0023777921320025097,0.0026053697074387688,0.0026053697074387688
140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,0,1,1,0,0.5653714706465115,0.5295964359505346,-0.03577503469597687,0.03577503469597687,-0.06327704271152475,0.06327704271152475
140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,0,2,1,3,1.1128770063699158,1.1019019944609798,-0.010975011908936017,0.010975011908936017,-0.009861837243574038,0.009861837243574038
140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,0,3,1,2,1.7681108626325364,1.7206161088613434,-0.047494753771192944,0.047494753771192944,-0.026861864137002197,0.026861864137002197
140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,0,4,1,4,2.4842727035726373,2.5355228976806132,0.05125019410797593,0.05125019410797593,0.020629858402530822,0.020629858402530822
140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,0,7,1,5,0.943516327373779,0.8803476804399536,-0.0631686469338254,0.0631686469338254,-0.06695024251424618,0.06695024251424618
140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,0,8,1,6,0.4332454253134897,0.5947526686564867,0.161507243342997,0.161507243342997,0.37278464793051846,0.37278464793051846
140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,0,11,1,7,6.725815062118314,4.925148313062923,-1.8006667490553907,1.8006667490553907,-0.26772468948741296,0.26772468948741296
140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\140_jpg.rf.da6c7245ca79dda94549dc9e26d7e220.jpg,1,2,0,3,0.5493922032921789,0.5756488449156041,0.026256641623425225,0.026256641623425225,0.047792162804795695,0.047792162804795695
